2021-03-23 11:27:10.390 DEBUG 2344 --- [main] org.hibernate.SQL                        : alter table riga_scontrino add column quantita integer
2021-03-23 11:27:10.418 DEBUG 2344 --- [main] org.hibernate.SQL                        : alter table riga_scontrino add column scontrino_id bigint
2021-03-23 11:27:10.511 DEBUG 2344 --- [main] org.hibernate.SQL                        : alter table riga_scontrino add constraint FKbauvluia1rjkjlac92qto561d foreign key (scontrino_id) references scontrino (id)
2021-03-23 11:27:11.522  WARN 2344 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-03-23 11:28:52.339 DEBUG 2344 --- [http-nio-8080-exec-1] org.hibernate.SQL                        : select prodotto0_.id as id1_4_, prodotto0_.codice as codice2_4_, prodotto0_.descrizione as descrizi3_4_, prodotto0_.ean as ean4_4_, prodotto0_.lotto_riordino as lotto_ri5_4_, prodotto0_.prezzo as prezzo6_4_, prodotto0_.scorta_minima_mag as scorta_m7_4_, prodotto0_.scorta_minima_scaf as scorta_m8_4_ from prodotto prodotto0_
2021-03-23 11:28:52.506 DEBUG 2344 --- [http-nio-8080-exec-1] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:28:52.509 TRACE 2344 --- [http-nio-8080-exec-1] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [4]
2021-03-23 11:28:52.521 DEBUG 2344 --- [http-nio-8080-exec-1] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:28:52.522 TRACE 2344 --- [http-nio-8080-exec-1] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [5]
2021-03-23 11:28:52.523 DEBUG 2344 --- [http-nio-8080-exec-1] org.hibernate.SQL                        : select sconti0_.prodotti_id as prodotti1_5_0_, sconti0_.sconti_id as sconti_i2_5_0_, sconto1_.id as id1_7_1_, sconto1_.alla_data as alla_dat2_7_1_, sconto1_.codice as codice3_7_1_, sconto1_.dalla_data as dalla_da4_7_1_, sconto1_.descrizione as descrizi5_7_1_, sconto1_.prezzo_scontato as prezzo_s6_7_1_ from prodotto_sconti sconti0_ inner join sconto sconto1_ on sconti0_.sconti_id=sconto1_.id where sconti0_.prodotti_id=?
2021-03-23 11:28:52.524 TRACE 2344 --- [http-nio-8080-exec-1] o.h.type.descriptor.sql.BasicBinder      : binding parameter [1] as [BIGINT] - [8]
